header timestamp,object.id,class_label_pred,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z,velocity.linear.x,velocity.angular.z,yaw,dimension_x,dimension_y,dimension_z
1572937878.82678,4101,Truck,225.245972,11.383144,2.983865,0.999687,0,0,-0.02503,17.948269,0,-0.050065,7.293758,2.687902,3.039766
1572937878.82678,12236,Unknown Small,128.750366,-6.012653,1.991901,0.480044,0,0,0.877244,-0.140073,0.011077,2.140182,0.761008,1.298514,2.259654
1572937878.82678,12243,Unknown Small,158.044128,-0.742196,2.651665,0.9353,0,0,0.353856,-0.074483,0.000009,0.723381,0.455426,1.38533,2.123423
1572937878.82678,7476,Van,122.104492,-0.152527,1.539165,0.999997,0,0,0.002328,19.175785,0,0.004656,0.923262,1.602719,1.651396
1572937878.82678,12246,Unknown Small,89.821106,-14.744174,0.659401,0.946201,0,0,0.323579,0.049269,0.001047,0.659019,0.458286,0.369221,0.707135
1572937878.82678,12248,Unknown Small,80.489441,-19.237667,0.66126,0.748042,0,0,0.663651,-0.017598,0.004296,1.451378,0.400112,0.260976,0.67017
1572937878.82678,12251,Truck,70.567566,3.768684,2.908934,0.996876,0,0,-0.078977,5.216533,0.000076,-0.158118,1.857751,1.298951,1.376292
1572937878.82678,7475,Car,146.597168,10.986435,2.005048,0.999984,0,0,-0.005637,21.973751,0,-0.011275,0.439657,1.461869,1.055488
1572937878.82678,4125,Null,4.804199,2.350685,0.5,0.995459,0,0,0.095189,3.645353,0,0.190667,4.101932,0.925804,1
1572937878.82678,4124,Null,27.689697,5.452356,0.175788,1,0,0,0.000251,11.959434,0,0.000503,3.790635,3.877831,1.648425
1572937878.82678,4104,Null,-6.775652,-0.151733,0.5,0.999952,0,0,-0.009828,4.227077,0,-0.019657,1.847082,2.190949,1
1572937878.82678,155,Null,11.601746,5.320471,0.121368,0.99998,0,0,-0.006366,10.978549,0,-0.012732,3.991794,2.165414,1.757265
1572937878.82678,162,Null,-6.074799,-4.763107,0.5,0.99999,0,0,0.004371,2.061646,0,0.008742,3.7825,1.205861,1
1572937878.92662,4101,Truck,226.431519,11.397467,2.936215,0.999693,0,0,-0.024794,17.972479,0,-0.049594,7.293758,2.687902,3.039766
1572937878.92662,12236,Unknown Small,128.175415,-6.017302,1.839869,0.477529,0,0,0.878616,-0.083092,0.006799,2.145912,0.761008,1.298514,2.259654
1572937878.92662,12243,Unknown Small,157.407532,-0.745784,2.911345,0.929646,0,0,0.368453,-0.451298,0.00009,0.754688,0.455426,1.38533,2.123423
1572937878.92662,7476,Van,123.450684,0.058151,1.906472,0.999996,0,0,0.002682,19.351089,0,0.005365,0.923262,1.602719,1.651396
1572937878.92662,12251,Truck,73.269287,3.97945,2.952113,0.999953,0,0,0.009652,5.765873,-0.000208,0.019305,1.857751,1.298951,1.376292
1572937878.92662,7475,Car,148.205322,11.147934,2.13971,0.999972,0,0,-0.007464,22.016775,0,-0.014929,0.439657,1.461869,1.055488
1572937878.92662,4125,Null,4.6427,2.419868,0.5,0.995439,0,0,0.095401,3.518155,0,0.191094,4.101932,0.925804,1
1572937878.92662,4104,Null,-6.798546,-0.148001,0.5,0.999988,0,0,-0.004912,4.383718,0,-0.009824,1.847082,2.190949,1
1572937878.92662,4124,Null,28.315369,5.44217,0.175788,1,0,0,0.000697,12.051195,0,0.001394,3.790635,3.877831,1.648425
1572937878.92662,155,Null,12.1203,5.307568,0.121368,0.999989,0,0,-0.004618,11.155083,0,-0.009235,3.991794,2.165414,1.757265
1572937878.92662,162,Null,-6.41507,-4.853195,0.5,0.999672,0,0,0.025605,2.891691,0,0.051216,3.7825,1.205861,1
1572937879.02665,4101,Truck,227.617065,11.411789,3.173851,0.999698,0,0,-0.024559,6.699296,0.01523,-0.049123,7.293758,2.687902,3.039766
1572937879.02665,12236,Unknown Small,127.600403,-6.021951,1.704083,0.47501,0,0,0.879981,-0.070988,0.005532,2.151642,0.761008,1.298514,2.259654
1572937879.02665,12243,Unknown Small,156.770935,-0.749372,2.753893,0.923765,0,0,0.382959,-0.326811,0.000342,0.785995,0.455426,1.38533,2.123423
1572937879.02665,7476,Van,124.796997,0.268814,1.683869,0.999996,0,0,0.00292,19.470818,0,0.005839,0.923262,1.602719,1.651396
1572937879.02665,12246,Unknown Small,88.647705,-14.756211,0.645615,0.946515,0,0,0.322661,0.067759,0.001007,0.657079,0.458286,0.369221,0.707135
1572937879.02665,12248,Unknown Small,79.390808,-19.256813,0.475165,0.7312,0,0,0.682163,0.011545,0.004752,1.501434,0.400112,0.260976,0.67017
1572937879.02665,12251,Truck,75.48584,4.037663,3.281011,0.999944,0,0,0.010569,12.768067,-0.001355,0.021138,1.857751,1.298951,1.376292
1572937879.02665,12252,Unknown Small,170.147736,-12.862282,3.123515,0.947054,0,0,0.321074,-0.007163,0.000629,0.653726,0.145632,0.444191,1.721711
1572937879.02665,7475,Car,149.813354,11.309418,2.200576,0.999957,0,0,-0.009291,22.062277,0,-0.018583,0.439657,1.461869,1.055488
1572937879.02665,4125,Null,4.481216,2.489059,0.5,0.995418,0,0,0.095614,3.298577,0,0.19152,4.101932,0.925804,1
1572937879.02665,4104,Null,-6.82144,-0.144269,0.5,0.999999,0,0,-0.001615,4.446273,0,-0.003231,1.847082,2.190949,1
1572937879.02665,4124,Null,28.94104,5.431985,0.175788,0.999999,0,0,0.001142,12.107682,0,0.002285,3.790635,3.877831,1.648425
