frame seq,bag timestamp,header timestamp,position x,position y,oritentation yaw,oritentation pitch,orientation roll,velocity,ego_lane
231,1638350258.040327424,1638350258.040327424,73.5594,3.0175,0.0298696,0,0,6.58575,0
232,1638350258.140286464,1638350258.140286464,74.2176,3.03676,0.0286826,0,0,6.52991,0
233,1638350258.240260608,1638350258.240260608,74.8701,3.05528,0.0281296,0,0,6.48573,0
234,1638350258.340240384,1638350258.340240384,75.5183,3.07325,0.0272155,0,0,6.48455,0
235,1638350258.440281088,1638350258.440281088,76.1647,3.09064,0.0266137,0,0,6.41852,0
236,1638350258.540331520,1638350258.540331520,76.8026,3.10738,0.0257004,0,0,6.43027,0
237,1638350258.640382208,1638350258.640382208,77.4425,3.12368,0.025324,0,0,6.36223,0
238,1638350258.740423168,1638350258.740423168,78.0752,3.13951,0.0245767,0,0,6.33177,0
239,1638350258.840468224,1638350258.840468224,78.7048,3.15486,0.0239548,0,0,6.21068,0
240,1638350258.940536064,1638350258.940536064,79.3226,3.16954,0.0233382,0,0,6.17673,0
241,1638350259.040594176,1638350259.040594176,79.9416,3.18402,0.0231689,0,0,6.09751,0
242,1638350259.140647680,1638350259.140647680,80.5475,3.19789,0.0226027,0,0,6.0744,0
243,1638350259.240664064,1638350259.240664064,81.1516,3.21126,0.0216266,0,0,6.05465,0
244,1638350259.340678656,1638350259.340678656,81.7502,3.22417,0.0215121,0,0,6.14929,0
245,1638350259.440674560,1638350259.440674560,82.3635,3.23737,0.0215266,0,0,6.05089,0
246,1638350259.540656384,1638350259.540656384,82.9676,3.25005,0.020397,0,0,6.0625,0
247,1638350259.640625664,1638350259.640625664,83.5741,3.26193,0.0187611,0,0,6.03975,0
248,1638350259.740620288,1638350259.740620288,84.1787,3.27296,0.01764,0,0,6.09048,0
249,1638350259.840625664,1638350259.840625664,84.7877,3.28331,0.0162924,0,0,6.06073,0
250,1638350259.940625408,1638350259.940625408,85.393,3.2925,0.0140696,0,0,6.10148,0
251,1638350260.040630528,1638350260.040630528,86.0026,3.30005,0.0106785,0,0,6.0657,0
252,1638350260.140628736,1638350260.140628736,86.6083,3.30514,0.00611904,0,0,6.0636,0
253,1638350260.240641024,1638350260.240641024,87.2136,3.30722,0.000744714,0,0,5.98293,0
254,1638350260.340649728,1638350260.340649728,87.8108,3.30554,-0.00637985,0,0,5.99423,0
255,1638350260.440643072,1638350260.440643072,88.4095,3.2992,-0.0148204,0,0,5.99209,0
256,1638350260.540641536,1638350260.540641536,89.0084,3.28774,-0.0234321,0,0,5.97874,0
257,1638350260.640634624,1638350260.640634624,89.6052,3.27091,-0.0329634,0,0,5.88611,0
258,1638350260.740632832,1638350260.740632832,90.1918,3.24835,-0.0439131,0,0,5.91565,0
259,1638350260.840636672,1638350260.840636672,90.7795,3.21903,-0.0558357,0,0,5.84828,0
260,1638350260.940642560,1638350260.940642560,91.3593,3.18284,-0.0688662,0,0,5.79587,0
261,1638350261.040658688,1638350261.040658688,91.9334,3.13916,-0.0830229,0,0,5.7391,0
262,1638350261.140682752,1638350261.140682752,92.5014,3.08726,-0.0992673,0,0,5.68683,0
263,1638350261.240706816,1638350261.240706816,93.063,3.02594,-0.118295,0,0,5.6947,0
264,1638350261.340729088,1638350261.340729088,93.6239,2.95339,-0.139001,0,0,5.69695,0
265,1638350261.440732928,1638350261.440732928,94.1842,2.86909,-0.1597,0,0,5.71164,0
266,1638350261.540730880,1638350261.540730880,94.7449,2.77249,-0.181552,0,0,5.74778,0
267,1638350261.640704512,1638350261.640704512,95.3082,2.66211,-0.205458,0,0,5.78251,0
268,1638350261.740639232,1638350261.740639232,95.8721,2.53727,-0.230293,0,0,5.74007,0
269,1638350261.840582912,1638350261.840582912,96.4285,2.39986,-0.253969,0,0,5.75128,0
270,1638350261.940536064,1638350261.940536064,96.9829,2.24905,-0.277264,0,0,5.75135,0
271,1638350262.040471296,1638350262.040471296,97.5332,2.08522,-0.301452,0,0,5.79888,0
272,1638350262.140384000,1638350262.140384000,98.084,1.90651,-0.326027,0,0,5.86969,0
273,1638350262.240277504,1638350262.240277504,98.6372,1.71226,-0.349349,0,0,5.87615,0
274,1638350262.340196096,1638350262.340196096,99.1868,1.50486,-0.372238,0,0,5.93826,0
275,1638350262.440144640,1638350262.440144640,99.7378,1.28225,-0.395655,0,0,5.97144,0
276,1638350262.540076800,1638350262.540076800,100.286,1.04542,-0.419663,0,0,5.99755,0
277,1638350262.640020736,1638350262.640020736,100.831,0.794383,-0.443639,0,0,5.99973,0
278,1638350262.739950592,1638350262.739950592,101.37,0.530379,-0.4673,0,0,6.10444,0
279,1638350262.839900416,1638350262.839900416,101.912,0.248661,-0.491726,0,0,6.13562,0
280,1638350262.939860224,1638350262.939860224,102.449,-0.0478825,-0.517621,0,0,6.06247,0
281,1638350263.039796736,1638350263.039796736,102.972,-0.354631,-0.543367,0,0,6.1205,0
282,1638350263.139758080,1638350263.139758080,103.492,-0.677477,-0.567449,0,0,6.22566,0
283,1638350263.239723008,1638350263.239723008,104.013,-1.01858,-0.592403,0,0,6.29877,0
284,1638350263.339684608,1638350263.339684608,104.531,-1.37741,-0.618443,0,0,6.36116,0
285,1638350263.439682304,1638350263.439682304,105.046,-1.75365,-0.644366,0,0,6.41439,0
286,1638350263.539712256,1638350263.539712256,105.555,-2.14656,-0.669617,0,0,6.41733,0
287,1638350263.639764736,1638350263.639764736,106.054,-2.55214,-0.694943,0,0,6.45432,0
288,1638350263.739805952,1638350263.739805952,106.545,-2.97278,-0.722409,0,0,6.4961,0
289,1638350263.839872256,1638350263.839872256,107.027,-3.4098,-0.750217,0,0,6.58391,0
290,1638350263.939966720,1638350263.939966720,107.504,-3.86637,-0.77798,0,0,6.60774,0
291,1638350264.040060416,1638350264.040060416,107.968,-4.3386,-0.808738,0,0,6.6579,0
292,1638350264.140145152,1638350264.140145152,108.422,-4.82949,-0.840848,0,0,6.74264,0
